q0266  22:46.4-22:47.9  Почувствуешь себя лучше.
q0267  22:52.4-22:53.7  Выглядит хорошо.
q0268  22:58.8-22:59.6  Доктор Эндрюс,
q0269  23:00.3-23:03.6  гость хочет вас видеть.
q0270  23:05.6-23:07.7  Не пойми превратно, но я хочу сказать,
q0271  23:07.7-23:10.0  что в вашей библиотеке многого недостает.
q0272  23:10.1-23:13.1  Мне пришлось просить помощи в чате Discord. Они не были...
q0273  23:13.2-23:15.0  - Берни, у тебя что-то есть? - Да.
q0274  23:15.1-23:17.5  У меня что-то есть. Какие бы сигналы ни принимали -
q0275  23:17.6-23:20.0  мы такие показатели видели неоднократно.
q0276  23:20.0-23:22.7  Каждый скачок соответствует активности титанов.
q0277  23:22.8-23:25.3  Подержишь? Большое спасибо. Вот, посмотри.
q0278  23:25.4-23:27.6  Видишь? Гидора.
q0279  23:28.1-23:29.9  Первая встреча с Годзиллой.
q0280  23:30.0-23:31.8  Здесь - открытие Острова Черепа.
q0281  23:31.9-23:33.7  Ты говоришь, эти сигналы -
q0282  23:33.8-23:34.9  не случайные изменения.
q0283  23:35.0-23:37.1  - Да, похоже на то. - И Годзилла их улавливает?
q0284  23:37.2-23:38.5  Это не всё.
q0285  23:38.6-23:41.5  Смотри. Я искал совпадения всех волновых сигналов
q0286  23:41.6-23:43.4  - и сравнил с... - Что хочешь сказать?
q0287  23:43.5-23:46.0  Это сигнал бедствия! Сигнал бедствия.
q0288  23:46.1-23:47.5  SOS психической энергии.
q0289  23:47.6-23:49.9  Если твоя дочь видит эти символы,
q0290  23:49.9-23:52.8  то что-то там, внизу, зовет на помощь.
q0291  23:55.9-23:59.5  Обычные звуковые волны так далеко разойтись не могут. Это?
q0292  23:59.6-24:03.2  Это то, с чем мы никогда еще не сталкивались. И оно усиливается.
q0293  24:03.2-24:05.5  - У тебя есть теория? - Телепатический язык.
q0294  24:05.5-24:07.7  Это какой-то сигнал бедствия.
q0295  24:08.9-24:11.5  - Сигнал? От чего? - Или от кого.
q0296  24:11.6-24:13.8  Из-за этого Годзилла перемещается?
q0297  24:13.9-24:16.3  Точно не знаем. Но похоже на то.
q0298  24:16.4-24:21.1  Нам надо разобраться быстро. Опасность уже на подступах.
q0299  24:22.3-24:23.9  Власти ищут повод
q0300  24:24.0-24:25.7  перенять проекты Полой Земли.
q0301  24:25.8-24:27.8  И корпорации уже облизываются.
q0302  24:27.9-24:30.9  Да, ведь кто же хочет быть богатым и избавиться от монстров?
q0303  24:31.0-24:32.8  Было бы ужасно, да?
q0304  24:32.9-24:35.3  Надо найти источник, пока власти не узнали.
q0305  24:37.2-24:38.2  Ладно.
q0306  24:39.5-24:41.7  Назначаю тебя главой операции.
q0307  24:41.7-24:42.8  Собери небольшую команду.
q0308  24:42.9-24:45.3  Микаэл, лети быстро. И чтобы никто не умер!
q0309  24:45.4-24:47.6  Мы вернемся до темноты.
q0310  24:47.7-24:49.9  Ты хочешь прокатиться?
q0311  24:51.1-24:52.3  Думал, не спросишь.
q0312  24:57.1-24:58.1  Внимание!
q0313  24:58.2-25:02.6  Готовить ВСПЗ 3 к старту на Полую Землю через пять минут.
q0314  25:03.6-25:05.9  Форпост Полой Земли не отвечает.
q0315  25:06.0-25:08.8  - Видимо, не работает радио. - Тогда это первая остановка.
q0316  25:08.9-25:09.7  Поняла.
q0317  25:11.0-25:12.6  Я хочу с вами.
q0318  25:13.6-25:16.2  Есть тысяча причин, по которым внизу небезопасно.
q0319  25:16.8-25:18.4  Меня что-то зовет.
q0320  25:20.9-25:23.4  Твое место рядом со мной. Мое - с тобой.
q0321  25:24.8-25:27.8  Используешь мои слова против меня?
q0322  25:27.9-25:28.8  Правда?
q0323  25:29.2-25:31.1  И я могу пригодиться из-за Конга.
q0324  25:33.6-25:36.0  Поторопитесь. Конг встал.
q0325  25:41.9-25:44.2  Не отходи от меня ни на шаг.
q0326  25:56.1-25:58.4  Эй! Доктор Эндрюс.
